,Holder_ID,Age,Holder_Sex,District,City_Code,Race1,Race1_Hybrid,Race2,Race2_Hybrid,Race,Dog_Birth_Year,Dog_sex,Dog_Color
208,80700,51-60,w,2,21,Mischling klein,,,,K,2007,w,braun/weiss
209,80700,51-60,w,2,21,Podenco,,,,I,2009,w,braun/schwarz
210,80713,61-70,m,11,111,Dachshund,,,,K,2012,w,rot
211,80715,61-70,m,6,61,Mischling klein,,,,K,2007,m,rehbraun
212,80719,61-70,w,11,111,Jack Russel Terrier,,,,K,2004,m,weiss/schwarz/braun
213,80719,61-70,w,11,111,Parson Terrier,Mischling,,,K,2005,m,beige
214,80734,71-80,w,2,24,Podenco,Mischling,,,I,2016,w,braun/weiss
215,80735,51-60,w,12,122,Golden Retriever,,,,I,2010,w,blondfarben
216,80746,71-80,w,7,71,Dachshund,,,,K,2016,m,schwarz/rot
217,80753,71-80,m,11,119,Mischling klein,,,,K,2011,w,braun
218,80755,61-70,w,9,91,West Highland White Terrier,,,,K,2012,w,weiss
219,80760,71-80,w,7,74,Epagneul Breton (Bretonischer Vorstehhund),,,,I,2015,m,weiss/orange
220,80761,71-80,m,11,115,Appenzeller Sennenhund,,,,I,2011,w,tricolor
221,80761,71-80,m,11,115,Appenzeller Sennenhund,,,,I,2008,m,tricolor
222,80763,71-80,w,7,74,Berner Sennenhund,,Deutscher Schäfer,,I,2012,w,tricolor
223,80767,71-80,w,9,92,Beagle,,,,K,2012,m,tricolor
224,80778,61-70,m,2,23,Yorkshire Terrier,,,,K,2014,w,schwarz/braun
225,80784,51-60,w,7,71,Mischling klein,,,,K,2015,m,beige
226,80797,81-90,w,2,24,Shih Tzu,,,,K,2009,m,tricolor
227,80835,81-90,w,7,73,Malteser,,,,K,2013,w,weiss
228,80838,71-80,w,7,71,Toypudel,,,,K,2013,w,schwarz
229,80840,51-60,w,10,101,Dalmatiner,Mischling,,,I,2012,m,schwarz/weiss
230,80847,71-80,m,9,91,Beagle,,,,K,2006,w,tricolor
231,80853,51-60,w,12,122,Labrador,,Pudel,,I,2015,w,schwarz
232,80871,61-70,m,7,72,Miniature Australian Shepherd,,,,K,2017,m,tricolor
233,80876,51-60,w,2,23,Zwergschnauzer,,,,K,2017,m,schwarz/weiss
234,80879,61-70,m,7,74,Nova Scotia Duck Tolling Retriever,,,,I,2016,w,rot/weiss
235,80881,71-80,w,7,72,Mops,,,,K,2008,w,beige
236,80881,71-80,w,7,72,Mops,,,,K,2010,m,beige
237,80883,61-70,w,7,73,Galgo Espanol,,,,I,2014,w,braun gestromt
238,80883,61-70,w,7,73,Mischling gross,,,,I,2018,w,beige
239,80884,81-90,w,7,74,Cocker Spaniel,,,,K,2005,w,weiss/orange
240,80888,71-80,w,7,72,Deutscher Boxer,,,,I,2011,w,hirschrot
241,80890,61-70,m,7,73,Pinscher,Mischling,,,K,2004,w,tricolor
242,80899,51-60,w,11,115,Mischling klein,Mischling,,,K,2015,w,tricolor
243,80904,61-70,m,8,82,Border Collie,Mischling,,,I,2016,w,tricolor
244,80915,71-80,w,3,34,Golden Retriever,,,,I,2006,w,blondfarben
245,80916,41-50,w,9,92,Groenendael,,,,I,2010,w,schwarz
246,80916,41-50,w,9,92,Groenendael,,,,I,2018,w,schwarz
247,80917,41-50,w,10,101,Mischling gross,,,,I,2014,w,weiss/braun
248,80940,71-80,w,7,71,Mischling klein,,,,K,2004,m,grau/weiss
249,80940,71-80,w,7,71,Mischling klein,,,,K,2011,w,schwarz/braun
250,80945,71-80,w,7,72,Jack Russel Terrier,,,,K,2003,w,tricolor
251,80950,71-80,w,7,73,Rhodesian Ridgeback,,,,I,2019,w,red-wheaten
252,80957,51-60,w,7,74,Riesenschnauzer,,,,I,2012,w,schwarz
253,80959,51-60,w,8,82,Spinone,,,,I,2016,w,braun schimmel
254,80960,71-80,w,7,72,Mops,,,,K,2007,m,schwarz
255,80978,61-70,w,9,92,Mischling klein,,,,K,2012,m,tricolor
256,80982,61-70,w,10,101,Dachshund,,,,K,2013,w,gestromt
257,80994,51-60,w,10,101,Labrador,,,,I,2018,m,braun
258,80999,61-70,w,10,101,West Highland White Terrier,,,,K,2012,w,weiss
259,81001,71-80,m,10,101,Boxer,,,,I,2017,w,gestromt
260,81004,61-70,w,9,92,Scottish Terrier,,,,K,2006,m,brindle
261,81004,61-70,w,9,92,Scottish Terrier,,,,K,2013,m,schwarz
262,81004,61-70,w,9,92,Mischling klein,,,,K,2015,m,beige/schwarz
263,81004,61-70,w,9,92,Mischling klein,,,,K,2016,w,beige/rot
264,81018,81-90,w,10,101,Tervueren,,,,I,2005,w,braun
265,81042,41-50,w,2,21,Mischling klein,,,,K,2008,w,tricolor
266,81042,41-50,w,2,21,Foxterrier,Mischling,,,K,2011,m,braun/weiss
267,81045,71-80,w,6,63,Zwergrauhaardackel,,,,K,2009,w,saufarben
268,81050,61-70,w,5,52,Labrador Retriever,,,,I,2009,m,schwarz
269,81050,61-70,w,5,52,Labrador Retriever,,,,I,2005,m,schwarz
270,81054,51-60,w,1,11,Mops,,,,K,2011,m,schwarz
271,81064,71-80,w,8,83,Labrador Retriever,,,,I,2009,w,braun
272,81072,51-60,w,7,71,Mischling klein,,,,K,2008,w,braun/weiss
273,81091,71-80,w,7,71,Labrador Retriever,,,,I,2017,m,schwarz
274,81097,71-80,w,7,72,Golden Retriever,,,,I,2015,m,weiss
275,81097,71-80,w,7,72,Golden Retriever,,,,I,2013,w,golden
276,81107,81-90,w,7,74,Deutscher Schäfer,,,,I,2011,m,schwarz/gelb
277,81108,61-70,w,1,11,Phalène,,,,K,2016,w,tricolor
278,81112,81-90,m,7,74,Australian Shepherd,Mischling,,,I,2009,m,blue/merle
279,81116,51-60,w,7,74,Französische Bulldogge,,Mops,,K,2014,w,beige/schwarz
280,81132,31-40,m,7,73,Mischling klein,,,,K,2010,w,schwarz/braun
281,81134,81-90,m,7,74,Mittelspitz,,,,K,2009,w,schwarz/weiss
282,81139,81-90,w,7,74,Mops,,,,K,2015,m,beige
283,81152,51-60,w,4,41,Mischling gross,,,,I,2018,m,schwarz
284,81153,51-60,w,8,83,Airedale Terrier,,,,I,2013,w,black/tan
285,81159,71-80,m,9,92,Airedale Terrier,,,,I,2015,w,black/tan
286,81172,61-70,w,11,111,Collie,,,,I,2009,m,tricolor
287,81172,61-70,w,11,111,Collie,,,,I,2017,m,sable
288,81183,51-60,m,9,92,Deutscher Schäfer,,,,I,2011,w,schwarz/gelb
289,81183,51-60,m,9,92,Yorkshire Terrier,,,,K,2013,m,steelblue/tan
290,81188,51-60,m,10,101,Jack Russel Terrier,,,,K,2011,w,braun/weiss
291,81200,81-90,m,10,101,Toypudel,,,,K,2002,w,schwarz
292,81212,61-70,w,9,92,Labrador Retriever,,,,I,2018,w,schwarz
293,81218,81-90,w,9,91,Cairn Terrier,,,,K,2012,m,rot/braun
294,81245,71-80,w,8,81,Chihuahua,,,,K,2009,w,rot
295,81245,71-80,w,8,81,Mischling klein,,,,K,2014,w,schwarz
296,81248,71-80,m,10,101,Deutscher Schäfer,,,,I,2012,m,braun/schwarz
297,81281,61-70,m,3,33,Labrador Retriever,,,,I,2003,m,schwarz
298,81293,81-90,w,10,101,Cocker Spaniel,,,,K,2010,w,braun/weiss
299,81309,71-80,w,10,102,Yorkshire Terrier,Mischling,,,K,2006,w,schwarz/braun
300,81316,71-80,w,11,119,Biewer Yorkshire Terrier,,,,K,2014,m,tricolor
301,81322,81-90,w,6,63,Galgo Espanol,,,,I,2008,w,gestromt
302,81323,81-90,m,6,63,Alpenländische Dachsbracke,,,,K,2007,m,hirschrot
303,81325,71-80,w,12,122,Sheltie,,,,K,2008,w,blue/merle
304,81336,51-60,w,6,63,Malteser,,,,K,2010,w,weiss
305,81346,71-80,w,7,71,Terrier,Mischling,,,K,2005,w,tricolor
306,81348,71-80,w,7,71,Mischling gross,,,,I,2015,w,braun
307,81352,71-80,w,7,71,Windspiel,,,,I,2011,m,steelblue
308,81352,71-80,w,7,71,Italienisches Windspiel,,,,K,2011,w,schwarz/weiss
309,81353,81-90,w,6,63,Rottweiler,Mischling,,,I,2008,m,schwarz/braun
310,81357,51-60,w,2,21,Mittelpudel,,,,K,2016,w,schwarz
311,81364,51-60,w,2,23,Dachshund,,,,K,2008,w,schwarz/rot
312,81366,61-70,w,10,101,Greyhound,,,,I,2014,w,schwarz
313,81381,51-60,m,8,81,Mischling klein,,,,K,2016,w,grau
314,81387,51-60,w,8,82,Mischling gross,,,,I,2014,w,schwarz/braun
315,81391,81-90,w,7,71,Lagotto Romagnolo,,,,I,2012,w,braun
316,81392,51-60,w,9,91,Chow Chow,,Labrador Retriever,,I,2017,w,schwarz
317,81397,51-60,w,8,83,Bearded Collie,,,,I,2015,m,braun/weiss
318,81399,81-90,w,12,122,Yorkshire Terrier,,,,K,2016,w,black/tan
319,81403,71-80,w,6,63,Border Collie,,,,I,2009,w,tricolor
320,81407,71-80,m,6,63,Border Collie,,,,I,2006,w,schwarz
321,81424,81-90,w,7,74,Jack Russel Terrier,Mischling,,,K,2007,w,schwarz/braun
322,81430,71-80,w,10,102,Bolonka Zwetna,,,,K,2012,w,black/tan
323,81437,71-80,w,7,74,Dachshund,Mischling,,,K,2008,w,braun/weiss
324,81438,81-90,m,7,71,Labrador Retriever,,,,I,2007,m,schwarz
325,81441,71-80,w,8,81,Pinscher,,Terrier,,K,2016,w,tricolor
326,81448,71-80,w,4,41,Dachshund,,,,K,2007,w,saufarben
327,81457,41-50,w,7,73,Beagle,,,,K,2016,w,tricolor
328,81457,41-50,w,7,73,Beagle,,,,K,2012,w,tricolor
329,81458,81-90,w,6,63,Border Terrier,,,,K,2015,m,blue/tan
330,81459,91-100,w,6,61,Cairn Terrier,,,,K,2011,m,braun
331,81463,61-70,w,10,102,Mops,,,,K,2013,w,beige
332,81468,71-80,w,5,51,Yorkshire Terrier,,West Highland White Terrier,,K,2004,m,schwarz/braun/weiss
333,81469,61-70,w,6,63,Jack Russel Terrier,,,,K,2011,m,weiss/braun
334,81475,71-80,w,7,71,Labrador Retriever,,,,I,2009,w,schwarz/weiss
335,81482,71-80,m,12,122,English Cocker Spaniel,,,,K,2011,m,blauschimmel
336,81483,51-60,w,5,52,Labrador Retriever,,Hovawart,,I,2009,w,schwarz/braun
337,81502,81-90,w,7,72,Mischling gross,,,,I,2015,w,weiss/braun
338,81509,71-80,w,12,122,English Springer Spaniel,,,,I,2016,m,braun/weiss
339,81512,81-90,w,1,12,Cairn Terrier,,,,K,2012,w,schwarz/braun
340,81518,71-80,m,2,23,Parson Terrier,,,,K,2010,m,tricolor
341,81523,81-90,w,2,21,Jack Russel Terrier,,,,K,2012,w,tricolor
342,81528,61-70,w,2,21,Grosser Schweizer Sennenhund,,,,I,2012,w,tricolor
343,81531,71-80,w,3,34,Bolonka Zwetna,,,,K,2011,w,braun/weiss/schwarz
344,81531,71-80,w,3,34,Afghanischer Windhund,,,,I,2013,w,silber
345,81531,71-80,w,3,34,Afghanischer Windhund,,,,I,2010,w,blue
346,81539,81-90,w,2,21,Havaneser,,Malteser,,K,2017,w,weiss
347,81548,51-60,w,3,31,Labrador Retriever,,Flat Coated Retriever,,I,2012,m,schwarz
348,81557,81-90,w,2,24,Labrador Retriever,Mischling,,,I,2004,w,schwarz
