,Holder_ID,Age,Holder_Sex,District,City_Code,Race1,Race1_Hybrid,Race2,Race2_Hybrid,Race,Dog_Birth_Year,Dog_sex,Dog_Color,Dog_Age,Owner_Age_Group
51,19225,71-80,w,12,122,Neufundländer,,,,I,2016,m,braun/weiss,7,7
52,19652,61-70,w,2,24,Mischling klein,,,,K,2007,w,braun,16,6
53,19900,51-60,w,5,51,Deutscher Kleinspitz,,,,K,2015,m,braun/schwarz,8,5
54,20351,51-60,w,10,101,Labrador Retriever,,,,I,2011,m,braun,12,5
55,20762,61-70,m,4,42,Zwergpudel,,,,K,2012,m,apricot,11,6
56,20949,61-70,m,11,111,Shiba Inu,Mischling,,,K,2014,w,beige,9,6
57,21002,71-80,m,7,71,Mischling gross,,,,I,2011,m,creme,12,7
58,21793,61-70,w,11,115,Mischling klein,,,,K,2014,w,schwarz,9,6
59,21828,71-80,w,7,74,Spitz,Mischling,,,K,2013,m,weiss/beige,10,7
60,21865,71-80,m,6,61,Foxterrier,,,,K,2017,m,schwarz/weiss,6,7
61,22186,41-50,m,8,82,Labrador Retriever,,Border Collie,,I,2009,m,schwarz,14,4
62,22378,51-60,m,7,72,Kooikerhondje,,,,K,2010,w,weiss/orange,13,5
63,22750,61-70,m,2,21,Jack Russel Terrier,,,,K,2013,w,weiss/braun,10,6
64,22776,51-60,m,11,119,Berner Sennenhund,,,,I,2014,m,tricolor,9,5
65,22950,61-70,w,11,119,Mittelpudel,,,,K,2013,w,schwarz,10,6
66,23054,61-70,w,10,101,Cairn Terrier,,,,K,2011,m,rot/beige,12,6
67,23408,41-50,m,12,122,Yorkshire Terrier,,,,K,2011,w,black/tan,12,4
68,23453,41-50,m,11,111,Golden Retriever,,Rottweiler,,I,2016,w,schwarz/weiss/braun,7,4
69,23493,61-70,m,11,111,Boxer,,,,I,2013,m,braun/weiss,10,6
70,23590,61-70,w,9,92,Affenpinscher,Mischling,,,K,2012,w,schwarz,11,6
71,23750,41-50,w,8,81,Parson Jack Russell Terrier,,,,K,2019,m,tricolor,4,4
72,23889,61-70,w,4,42,Pudel,,,,K,2012,m,braun,11,6
73,24041,41-50,w,11,115,Bergamasker,,Border Collie,,I,2019,w,schwarz/weiss,4,4
74,24246,51-60,m,10,102,Samojede,,,,I,2018,w,weiss,5,5
75,44439,71-80,m,7,74,Mischling klein,,,,K,2005,m,hellbraun,18,7
76,54322,71-80,m,3,33,Lagotto Romagnolo,,,,I,2009,m,weiss/orange,14,7
77,55176,71-80,m,3,34,Dobermann,,,,I,2016,m,schwarz/braun,7,7
78,55693,71-80,w,11,119,Chihuahua,,,,K,2011,w,braun/weiss,12,7
79,55835,71-80,w,8,82,Lagotto Romagnolo,,,,I,2009,m,marronschimmel,14,7
80,60348,71-80,m,11,111,Mischling klein,,,,K,2013,w,schwarz/weiss,10,7
81,60402,61-70,w,11,111,Mischling klein,,,,K,2013,m,dunkelbraun,10,6
82,61323,71-80,m,8,81,Mudi,,,,I,2010,m,blondfarben,13,7
83,62389,71-80,m,8,83,Boxer,,,,I,2014,w,gestromt,9,7
84,62628,71-80,m,7,72,Yorkshire Terrier,,,,K,2007,w,graubraun,16,7
85,63468,81-90,m,7,74,Pekingese,,,,K,2012,m,schwarz/weiss,11,8
86,63704,71-80,m,10,101,Dachshund,,,,K,2012,w,saufarben,11,7
87,64444,61-70,m,7,71,Mischling klein,,,,K,2007,w,rot/weiss,16,6
88,64727,51-60,m,8,83,Appenzeller Sennenhund,,Border Collie,,I,2016,m,tricolor,7,5
89,65665,61-70,w,8,82,Mops,,,,K,2019,m,beige/schwarz,4,6
90,65681,51-60,m,2,21,Italienisches Windspiel,,,,K,2011,m,blau,12,5
91,65713,71-80,w,2,21,Lagotto Romagnolo,,,,I,2005,w,braun,18,7
92,65713,71-80,w,2,21,Lagotto Romagnolo,,,,I,2017,w,braun,6,7
93,65732,51-60,m,7,72,Holländischer Schäfer,,,,I,2009,m,gestromt,14,5
94,65758,51-60,w,7,71,Yorkshire Terrier,,,,K,2007,m,black/tan,16,5
95,65794,51-60,m,7,72,Lagotto Romagnolo,,,,I,2017,m,braun/weiss,6,5
96,65940,51-60,w,8,81,Berner Sennenhund,,,,I,2019,w,tricolor,4,5
97,65975,61-70,w,7,74,Cocker Spaniel,,,,K,2018,m,hellbraun/weiss,5,6
98,65975,61-70,w,7,74,Labrador Retriever,,,,I,2010,w,braun,13,6
99,65975,61-70,w,7,74,Labrador Retriever,,,,I,2006,m,schwarz,17,6
100,65981,51-60,w,6,63,Labrador Retriever,,,,I,2013,m,gelb,10,5
101,65981,51-60,w,6,63,Labrador Retriever,,,,I,2017,m,gelb,6,5
102,66151,51-60,m,11,115,Deutscher Schäfer,,,,I,2008,w,schwarz/braun/weiss,15,5
103,66298,51-60,m,6,63,Magyar Viszla,,,,I,2010,m,gelb,13,5
104,66323,51-60,m,8,83,Mischling klein,,,,K,2017,m,braun,6,5
105,66515,61-70,m,8,83,Labrador Retriever,,,,I,2007,w,braun,16,6
106,66515,61-70,m,8,83,Labrador Retriever,,,,I,2011,w,braun,12,6
107,66757,51-60,w,1,14,Mischling gross,,,,I,2012,m,braun/beige,11,5
108,66869,51-60,w,2,24,Havaneser,,,,K,2015,m,braun/rot,8,5
109,67001,51-60,w,3,34,Mops,,,,K,2013,m,beige,10,5
110,67018,71-80,w,6,61,Labrador Retriever,,,,I,2012,m,beige,11,7
111,67125,61-70,m,7,74,Rhodesian Ridgeback,,,,I,2017,m,blue/tan,6,6
112,67135,41-50,m,6,61,Jack Russel Terrier,,,,K,2010,w,tricolor,13,4
113,67135,41-50,m,6,61,Jack Russel Terrier,,,,K,2017,w,tricolor,6,4
114,67220,71-80,m,2,21,Mischling klein,,,,K,2010,m,braun,13,7
115,67272,31-40,w,3,33,Beagle,,,,K,2017,w,tricolor,6,3
116,67308,51-60,w,11,111,Shih Tzu,,,,K,2012,w,braun/weiss,11,5
117,67327,41-50,m,5,52,Pudel,,Golden Retriever,,I,2018,m,creme,5,4
118,70076,41-50,m,9,92,Labrador Retriever,,,,I,2009,m,braun,14,4
119,70115,41-50,w,3,31,Mischling gross,,,,I,2016,m,schwarz/weiss,7,4
120,70152,61-70,m,8,82,Bayerischer Gebirgsschweisshund,,Border Collie,,I,2018,w,schwarz,5,6
121,70176,41-50,w,4,44,Mischling gross,,,,I,2012,w,weiss,11,4
122,70296,51-60,w,7,74,Pinscher,Mischling,,,K,2009,m,hellbraun,14,5
123,70296,51-60,w,7,74,Mischling klein,,,,K,2010,w,weiss/beige,13,5
124,70577,51-60,w,3,34,Mischling klein,,,,K,2014,w,blondfarben,9,5
125,70788,31-40,m,7,71,Mops,,Beagle,,K,2014,w,braun,9,3
126,71024,61-70,w,7,74,Lagotto Romagnolo,,,,I,2012,w,bianco-aranico,11,6
127,71142,51-60,w,7,71,Canaan Dog,,,,I,2008,m,schwarz,15,5
128,71555,71-80,m,7,71,Braque d'Auvergne,,,,I,2018,m,schwarz/weiss,5,7
129,71670,61-70,m,7,71,Deutscher Schäfer,,,,I,2012,w,braun,11,6
130,71885,71-80,w,7,73,Mischling klein,,,,K,2013,w,weiss/braun,10,7
131,71893,51-60,w,6,63,Border Collie,,,,I,2012,w,tricolor,11,5
132,71991,51-60,m,6,63,Border Collie,,,,I,2015,m,schwarz/weiss,8,5
133,72136,61-70,m,7,72,Labrador Retriever,,,,I,2007,m,choco,16,6
134,72580,41-50,m,10,102,Prager Rattler,,,,K,2013,m,hellbraun,10,4
135,72580,41-50,m,10,102,Prager Rattler,,,,K,2013,m,braun,10,4
136,80007,71-80,m,11,111,Labrador Retriever,,,,I,2016,m,schwarz,7,7
137,80011,51-60,w,12,123,Yorkshire Terrier,,,,K,2009,m,tricolor,14,5
138,80021,51-60,w,11,111,Labrador Retriever,,,,I,2011,w,schwarz,12,5
139,80023,71-80,m,11,111,Border Collie,,,,I,2010,m,tricolor,13,7
140,80023,71-80,m,11,111,Border Collie,,,,I,2014,w,schwarz/weiss,9,7
141,80028,41-50,w,10,101,Border Collie,,Deutscher Schäfer,,I,2015,w,tricolor,8,4
142,80056,81-90,m,7,74,Labrador Retriever,,,,I,2006,w,schwarz,17,8
143,80059,71-80,w,12,123,Französische Bulldogge,,,,K,2007,w,weiss,16,7
144,80068,51-60,m,9,91,Bayerischer Gebirgsschweisshund,,,,I,2011,m,hirschrot mit Maske,12,5
145,80096,51-60,w,11,111,Shih Tzu,Mischling,,,K,2014,m,beige,9,5
146,80099,81-90,m,12,123,Pinscher,,,,K,2002,m,rot,21,8
147,80106,61-70,w,9,91,Labrador Retriever,,Golden Retriever,,I,2009,m,schwarz,14,6
148,80127,51-60,w,10,101,Mischling gross,,,,I,2016,m,weiss/braun,7,5
149,80134,71-80,m,9,91,Mischling gross,,,,I,2016,w,weiss,7,7
150,80141,51-60,m,11,111,Yorkshire Terrier,Mischling,,,K,2003,w,schwarz/braun/grau,20,5
151,80162,61-70,m,12,123,Spitz,Mischling,,,K,2004,m,schwarz/weiss,19,6
152,80162,61-70,m,12,123,Parson Jack Russell Terrier,,,,K,2008,m,weiss/rot,15,6
153,80168,61-70,m,11,119,Labrador Retriever,,,,I,2005,m,beige,18,6
154,80172,61-70,m,9,91,Labrador Retriever,,,,I,2008,m,schwarz,15,6
155,80185,41-50,m,10,102,Labrador Retriever,,,,I,2010,w,blondfarben,13,4
156,80205,41-50,m,5,51,Beauceron Berge de Beauce,,,,I,2016,m,schwarz/braun,7,4
157,80226,71-80,w,6,61,Labrador Retriever,,,,I,2018,w,blondfarben,5,7
158,80230,61-70,w,9,92,Yorkshire Terrier,,,,K,2006,m,braun/weiss,17,6
159,80230,61-70,w,9,92,Chihuahua,,,,K,2017,w,beige,6,6
160,80248,61-70,m,4,42,Jack Russel Terrier,,,,K,2009,w,braun/weiss,14,6
161,80258,61-70,m,11,111,Dachshund,,,,K,2009,w,rot/schwarz,14,6
162,80258,61-70,m,11,111,Weimaraner,,,,I,2016,w,grau,7,6
163,80267,41-50,m,12,122,Mischling klein,,,,K,2006,m,braun,17,4
164,80272,51-60,m,9,91,Foxterrier,,,,K,2017,m,schwarz/weiss,6,5
165,80319,51-60,w,10,102,Mischling klein,,,,K,2006,m,braun/schwarz,17,5
166,80335,61-70,w,12,122,Irish Setter,,Golden Retriever,,I,2008,m,braun,15,6
167,80335,61-70,w,12,122,Irish Setter,,Golden Retriever,,I,2008,m,braun,15,6
168,80370,61-70,m,12,121,Deutscher Schäfer,,,,I,2016,m,schwarz/braun,7,6
169,80382,61-70,w,10,102,Dachshund,,,,K,2008,m,braun,15,6
170,80383,91-100,w,4,44,Malteser,,Chihuahua,,K,2014,w,weiss,9,9
171,80404,61-70,m,7,72,Deutscher Wachtelhund,,,,I,2015,m,braun schimmel,8,6
172,80406,61-70,m,11,111,Labrador Retriever,,,,I,2008,w,schwarz,15,6
173,80407,81-90,m,7,72,Labrador Retriever,,,,I,2012,w,schwarz,11,8
174,80410,61-70,w,3,33,Labrador Retriever,,,,I,2012,w,schwarz,11,6
175,80412,51-60,m,2,21,Labrador Retriever,,,,I,2012,m,schwarz,11,5
176,80416,51-60,w,9,91,Labrador,,,,I,2016,m,schwarz,7,5
177,80434,61-70,w,7,71,Pudel,Mischling,,,K,2006,m,schwarz,17,6
178,80491,71-80,w,6,63,Chihuahua,,,,K,2006,w,braun,17,7
179,80493,81-90,w,11,119,Shih Tzu,,,,K,2006,m,weiss/schwarz,17,8
180,80500,61-70,m,11,111,Boxer,,,,I,2010,w,goldbraun,13,6
181,80509,71-80,w,2,24,Boxer,,,,I,2011,w,gelb,12,7
182,80513,61-70,w,3,33,Parson Jack Russell Terrier,,,,K,2011,w,tricolor,12,6
183,80517,51-60,w,11,119,Bolonka Zwetna,,,,K,2016,w,beige/creme,7,5
184,80521,61-70,w,11,111,Deutscher Schäfer,,,,I,2013,w,schwarz/braun,10,6
185,80525,81-90,m,7,72,Zwergpudel,,,,K,2011,m,schwarz,12,8
186,80538,61-70,w,2,24,English Cocker Spaniel,,,,K,2011,m,schwarz/weiss,12,6
187,80545,51-60,m,9,91,Border Terrier,,,,K,2010,w,red grizzle,13,5
188,80545,51-60,m,9,91,Border Terrier,,,,K,2006,w,schwarz/braun,17,5
189,80571,51-60,m,3,34,Mischling klein,,,,K,2013,w,schwarz/braun,10,5
190,80575,81-90,w,4,42,Mischling klein,,,,K,2008,w,weiss/beige,15,8
191,80584,71-80,w,8,82,Labrador Retriever,,,,I,2009,m,schwarz,14,7
192,80602,71-80,w,12,122,Bolonka Zwetna,,,,K,2011,m,weiss,12,7
193,80604,71-80,m,7,72,Labrador Retriever,,,,I,2009,w,braun,14,7
194,80604,71-80,m,7,72,Labrador Retriever,,,,I,2012,w,schwarz,11,7
195,80607,81-90,w,10,101,West Highland White Terrier,,,,K,2004,w,weiss,19,8
196,80618,71-80,w,8,83,Irish Terrier,,,,I,2005,w,rot,18,7
197,80628,61-70,m,9,91,Labrador Retriever,,,,I,2016,w,schwarz,7,6
198,80631,71-80,w,11,115,Mischling gross,,,,I,2012,w,braun/schwarz,11,7
199,80637,81-90,m,12,123,Mischling gross,,,,I,2009,w,schwarz,14,8
200,80648,51-60,m,11,111,Groenendael,,,,I,2015,m,schwarz,8,5
201,80653,61-70,m,7,73,Groenendael,,,,I,2009,w,schwarz,14,6
202,80656,71-80,m,10,101,Epagneul Breton (Bretonischer Vorstehhund),,,,I,2008,w,weiss/braun,15,7
203,80659,51-60,w,3,33,English Springer Spaniel,,,,I,2012,m,schwarz/weiss,11,5
204,80661,71-80,w,7,72,Chihuahua,,,,K,2014,w,schwarz/beige,9,7
205,80684,71-80,w,7,72,Bergamasker,Mischling,,,I,2009,m,tricolor,14,7
206,80698,41-50,w,11,119,Toypudel,,,,K,2016,m,rot,7,4
207,80698,41-50,w,11,119,Toypudel,,,,K,2019,m,weiss,4,4
208,80700,51-60,w,2,21,Mischling klein,,,,K,2007,w,braun/weiss,16,5
209,80700,51-60,w,2,21,Podenco,,,,I,2009,w,braun/schwarz,14,5
210,80713,61-70,m,11,111,Dachshund,,,,K,2012,w,rot,11,6
211,80715,61-70,m,6,61,Mischling klein,,,,K,2007,m,rehbraun,16,6
212,80719,61-70,w,11,111,Jack Russel Terrier,,,,K,2004,m,weiss/schwarz/braun,19,6
213,80719,61-70,w,11,111,Parson Terrier,Mischling,,,K,2005,m,beige,18,6
214,80734,71-80,w,2,24,Podenco,Mischling,,,I,2016,w,braun/weiss,7,7
215,80735,51-60,w,12,122,Golden Retriever,,,,I,2010,w,blondfarben,13,5
216,80746,71-80,w,7,71,Dachshund,,,,K,2016,m,schwarz/rot,7,7
217,80753,71-80,m,11,119,Mischling klein,,,,K,2011,w,braun,12,7
218,80755,61-70,w,9,91,West Highland White Terrier,,,,K,2012,w,weiss,11,6
219,80760,71-80,w,7,74,Epagneul Breton (Bretonischer Vorstehhund),,,,I,2015,m,weiss/orange,8,7
220,80761,71-80,m,11,115,Appenzeller Sennenhund,,,,I,2011,w,tricolor,12,7
221,80761,71-80,m,11,115,Appenzeller Sennenhund,,,,I,2008,m,tricolor,15,7
222,80763,71-80,w,7,74,Berner Sennenhund,,Deutscher Schäfer,,I,2012,w,tricolor,11,7
223,80767,71-80,w,9,92,Beagle,,,,K,2012,m,tricolor,11,7
224,80778,61-70,m,2,23,Yorkshire Terrier,,,,K,2014,w,schwarz/braun,9,6
225,80784,51-60,w,7,71,Mischling klein,,,,K,2015,m,beige,8,5
226,80797,81-90,w,2,24,Shih Tzu,,,,K,2009,m,tricolor,14,8
227,80835,81-90,w,7,73,Malteser,,,,K,2013,w,weiss,10,8
228,80838,71-80,w,7,71,Toypudel,,,,K,2013,w,schwarz,10,7
229,80840,51-60,w,10,101,Dalmatiner,Mischling,,,I,2012,m,schwarz/weiss,11,5
230,80847,71-80,m,9,91,Beagle,,,,K,2006,w,tricolor,17,7
231,80853,51-60,w,12,122,Labrador,,Pudel,,I,2015,w,schwarz,8,5
232,80871,61-70,m,7,72,Miniature Australian Shepherd,,,,K,2017,m,tricolor,6,6
233,80876,51-60,w,2,23,Zwergschnauzer,,,,K,2017,m,schwarz/weiss,6,5
234,80879,61-70,m,7,74,Nova Scotia Duck Tolling Retriever,,,,I,2016,w,rot/weiss,7,6
235,80881,71-80,w,7,72,Mops,,,,K,2008,w,beige,15,7
236,80881,71-80,w,7,72,Mops,,,,K,2010,m,beige,13,7
237,80883,61-70,w,7,73,Galgo Espanol,,,,I,2014,w,braun gestromt,9,6
238,80883,61-70,w,7,73,Mischling gross,,,,I,2018,w,beige,5,6
239,80884,81-90,w,7,74,Cocker Spaniel,,,,K,2005,w,weiss/orange,18,8
240,80888,71-80,w,7,72,Deutscher Boxer,,,,I,2011,w,hirschrot,12,7
241,80890,61-70,m,7,73,Pinscher,Mischling,,,K,2004,w,tricolor,19,6
242,80899,51-60,w,11,115,Mischling klein,Mischling,,,K,2015,w,tricolor,8,5
243,80904,61-70,m,8,82,Border Collie,Mischling,,,I,2016,w,tricolor,7,6
244,80915,71-80,w,3,34,Golden Retriever,,,,I,2006,w,blondfarben,17,7
245,80916,41-50,w,9,92,Groenendael,,,,I,2010,w,schwarz,13,4
246,80916,41-50,w,9,92,Groenendael,,,,I,2018,w,schwarz,5,4
247,80917,41-50,w,10,101,Mischling gross,,,,I,2014,w,weiss/braun,9,4
248,80940,71-80,w,7,71,Mischling klein,,,,K,2004,m,grau/weiss,19,7
249,80940,71-80,w,7,71,Mischling klein,,,,K,2011,w,schwarz/braun,12,7
250,80945,71-80,w,7,72,Jack Russel Terrier,,,,K,2003,w,tricolor,20,7
251,80950,71-80,w,7,73,Rhodesian Ridgeback,,,,I,2019,w,red-wheaten,4,7
252,80957,51-60,w,7,74,Riesenschnauzer,,,,I,2012,w,schwarz,11,5
253,80959,51-60,w,8,82,Spinone,,,,I,2016,w,braun schimmel,7,5
254,80960,71-80,w,7,72,Mops,,,,K,2007,m,schwarz,16,7
255,80978,61-70,w,9,92,Mischling klein,,,,K,2012,m,tricolor,11,6
256,80982,61-70,w,10,101,Dachshund,,,,K,2013,w,gestromt,10,6
257,80994,51-60,w,10,101,Labrador,,,,I,2018,m,braun,5,5
258,80999,61-70,w,10,101,West Highland White Terrier,,,,K,2012,w,weiss,11,6
259,81001,71-80,m,10,101,Boxer,,,,I,2017,w,gestromt,6,7
260,81004,61-70,w,9,92,Scottish Terrier,,,,K,2006,m,brindle,17,6
261,81004,61-70,w,9,92,Scottish Terrier,,,,K,2013,m,schwarz,10,6
262,81004,61-70,w,9,92,Mischling klein,,,,K,2015,m,beige/schwarz,8,6
263,81004,61-70,w,9,92,Mischling klein,,,,K,2016,w,beige/rot,7,6
264,81018,81-90,w,10,101,Tervueren,,,,I,2005,w,braun,18,8
265,81042,41-50,w,2,21,Mischling klein,,,,K,2008,w,tricolor,15,4
266,81042,41-50,w,2,21,Foxterrier,Mischling,,,K,2011,m,braun/weiss,12,4
267,81045,71-80,w,6,63,Zwergrauhaardackel,,,,K,2009,w,saufarben,14,7
268,81050,61-70,w,5,52,Labrador Retriever,,,,I,2009,m,schwarz,14,6
269,81050,61-70,w,5,52,Labrador Retriever,,,,I,2005,m,schwarz,18,6
270,81054,51-60,w,1,11,Mops,,,,K,2011,m,schwarz,12,5
271,81064,71-80,w,8,83,Labrador Retriever,,,,I,2009,w,braun,14,7
272,81072,51-60,w,7,71,Mischling klein,,,,K,2008,w,braun/weiss,15,5
273,81091,71-80,w,7,71,Labrador Retriever,,,,I,2017,m,schwarz,6,7
274,81097,71-80,w,7,72,Golden Retriever,,,,I,2015,m,weiss,8,7
275,81097,71-80,w,7,72,Golden Retriever,,,,I,2013,w,golden,10,7
276,81107,81-90,w,7,74,Deutscher Schäfer,,,,I,2011,m,schwarz/gelb,12,8
277,81108,61-70,w,1,11,Phalène,,,,K,2016,w,tricolor,7,6
278,81112,81-90,m,7,74,Australian Shepherd,Mischling,,,I,2009,m,blue/merle,14,8
279,81116,51-60,w,7,74,Französische Bulldogge,,Mops,,K,2014,w,beige/schwarz,9,5
280,81132,31-40,m,7,73,Mischling klein,,,,K,2010,w,schwarz/braun,13,3
281,81134,81-90,m,7,74,Mittelspitz,,,,K,2009,w,schwarz/weiss,14,8
282,81139,81-90,w,7,74,Mops,,,,K,2015,m,beige,8,8
283,81152,51-60,w,4,41,Mischling gross,,,,I,2018,m,schwarz,5,5
284,81153,51-60,w,8,83,Airedale Terrier,,,,I,2013,w,black/tan,10,5
285,81159,71-80,m,9,92,Airedale Terrier,,,,I,2015,w,black/tan,8,7
286,81172,61-70,w,11,111,Collie,,,,I,2009,m,tricolor,14,6
287,81172,61-70,w,11,111,Collie,,,,I,2017,m,sable,6,6
288,81183,51-60,m,9,92,Deutscher Schäfer,,,,I,2011,w,schwarz/gelb,12,5
289,81183,51-60,m,9,92,Yorkshire Terrier,,,,K,2013,m,steelblue/tan,10,5
290,81188,51-60,m,10,101,Jack Russel Terrier,,,,K,2011,w,braun/weiss,12,5
291,81200,81-90,m,10,101,Toypudel,,,,K,2002,w,schwarz,21,8
292,81212,61-70,w,9,92,Labrador Retriever,,,,I,2018,w,schwarz,5,6
293,81218,81-90,w,9,91,Cairn Terrier,,,,K,2012,m,rot/braun,11,8
294,81245,71-80,w,8,81,Chihuahua,,,,K,2009,w,rot,14,7
295,81245,71-80,w,8,81,Mischling klein,,,,K,2014,w,schwarz,9,7
296,81248,71-80,m,10,101,Deutscher Schäfer,,,,I,2012,m,braun/schwarz,11,7
297,81281,61-70,m,3,33,Labrador Retriever,,,,I,2003,m,schwarz,20,6
298,81293,81-90,w,10,101,Cocker Spaniel,,,,K,2010,w,braun/weiss,13,8
299,81309,71-80,w,10,102,Yorkshire Terrier,Mischling,,,K,2006,w,schwarz/braun,17,7
300,81316,71-80,w,11,119,Biewer Yorkshire Terrier,,,,K,2014,m,tricolor,9,7
301,81322,81-90,w,6,63,Galgo Espanol,,,,I,2008,w,gestromt,15,8
302,81323,81-90,m,6,63,Alpenländische Dachsbracke,,,,K,2007,m,hirschrot,16,8
303,81325,71-80,w,12,122,Sheltie,,,,K,2008,w,blue/merle,15,7
304,81336,51-60,w,6,63,Malteser,,,,K,2010,w,weiss,13,5
305,81346,71-80,w,7,71,Terrier,Mischling,,,K,2005,w,tricolor,18,7
306,81348,71-80,w,7,71,Mischling gross,,,,I,2015,w,braun,8,7
307,81352,71-80,w,7,71,Windspiel,,,,I,2011,m,steelblue,12,7
308,81352,71-80,w,7,71,Italienisches Windspiel,,,,K,2011,w,schwarz/weiss,12,7
309,81353,81-90,w,6,63,Rottweiler,Mischling,,,I,2008,m,schwarz/braun,15,8
310,81357,51-60,w,2,21,Mittelpudel,,,,K,2016,w,schwarz,7,5
311,81364,51-60,w,2,23,Dachshund,,,,K,2008,w,schwarz/rot,15,5
312,81366,61-70,w,10,101,Greyhound,,,,I,2014,w,schwarz,9,6
313,81381,51-60,m,8,81,Mischling klein,,,,K,2016,w,grau,7,5
314,81387,51-60,w,8,82,Mischling gross,,,,I,2014,w,schwarz/braun,9,5
315,81391,81-90,w,7,71,Lagotto Romagnolo,,,,I,2012,w,braun,11,8
316,81392,51-60,w,9,91,Chow Chow,,Labrador Retriever,,I,2017,w,schwarz,6,5
